ўИ���8K����8K���ИK�јK����p��������battery_voltage	64.00
current_read_micros	9200412
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54606.9453125000
battery_capacity_milli_coulomb	54606944
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.35673
% bat	50561.98437
% batA	0.00000
% batB	100.00000
% batC	107.81250

BAT PERCENT
50.57 %
dt_ms	76380.00
last_read_micros	9200412
current_read_micros	9276792
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8190000534
calculte_milli_coulombs_transffred	611040.0000000000
battery_capacity_coulomb	54612.4492187500
battery_capacity_milli_coulomb	54612448
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.33842
% bat	50567.08203
% batA	0.00000
% batB	100.00000
% batC	146.20535

dt_ms	39184.00
last_read_micros	9276792
current_read_micros	9315976
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9592000007
calculte_milli_coulombs_transffred	313472.0000000000
battery_capacity_coulomb	54633.6640625000
battery_capacity_milli_coulomb	54633664
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.27433
% bat	50586.72656
% batA	0.00000
% batB	-100.00000
% batC	-162.94642

dt_ms	42076.00
last_read_micros	9315976
current_read_micros	9358052
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54619.4570312500
battery_capacity_milli_coulomb	54619456
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.31706
% bat	50573.56640
% batA	0.00000
% batB	100.00000
% batC	195.08927

dt_ms	41904.00
last_read_micros	9358052
current_read_micros	9399956
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54628.3828125000
battery_capacity_milli_coulomb	54628384
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.28959
% bat	50581.83593
% batA	0.00000
% batB	-100.00000
% batC	-199.77677

dt_ms	42076.00
last_read_micros	9399956
current_read_micros	9442032
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54635.9375000000
battery_capacity_milli_coulomb	54635936
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.26823
% bat	50588.82812
% batA	0.00000
% batB	-100.00000
% batC	-147.09822

dt_ms	42076.00
last_read_micros	9442032
current_read_micros	9484108
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54644.8632812500
battery_capacity_milli_coulomb	54644864
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.24076
% bat	50597.09375
% batA	0.00000
% batB	0.00000
% batC	-84.82143

dt_ms	41732.00
last_read_micros	9484108
current_read_micros	9525840
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	333856.0312500000
battery_capacity_coulomb	54653.7929687500
battery_capacity_milli_coulomb	54653792
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.21329
% bat	50605.36718
% batA	0.00000
% batB	0.00000
% batC	-22.54464

BAT PERCENT
50.61 %
dt_ms	76164.00
last_read_micros	9525840
current_read_micros	9602004
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8081998825
calculte_milli_coulombs_transffred	609312.0000000000
battery_capacity_coulomb	54659.9687500000
battery_capacity_milli_coulomb	54659968
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.19498
% bat	50611.08203
% batA	0.00000
% batB	0.00000
% batC	20.53572

dt_ms	38928.00
last_read_micros	9602004
current_read_micros	9640932
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9464000701
calculte_milli_coulombs_transffred	311424.0000000000
battery_capacity_coulomb	54679.4570312500
battery_capacity_milli_coulomb	54679456
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.13394
% bat	50629.12500
% batA	0.00000
% batB	100.00000
% batC	156.47322

dt_ms	41904.00
last_read_micros	9640932
current_read_micros	9682836
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54663.1992187500
battery_capacity_milli_coulomb	54663200
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.18277
% bat	50614.07421
% batA	0.00000
% batB	0.00000
% batC	43.08036

dt_ms	41660.00
last_read_micros	9682836
current_read_micros	9724496
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	333280.0312500000
battery_capacity_coulomb	54670.7539062500
battery_capacity_milli_coulomb	54670752
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.16141
% bat	50621.06640
% batA	0.00000
% batB	0.00000
% batC	95.75893

dt_ms	41640.00
last_read_micros	9724496
current_read_micros	9766136
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0820000171
calculte_milli_coulombs_transffred	333120.0312500000
battery_capacity_coulomb	54676.3515625000
battery_capacity_milli_coulomb	54676352
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.14310
% bat	50626.25000
% batA	0.00000
% batB	100.00000
% batC	134.82142

dt_ms	41916.00
last_read_micros	9766136
current_read_micros	9808052
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0957999229
calculte_milli_coulombs_transffred	335328.0312500000
battery_capacity_coulomb	54681.7929687500
battery_capacity_milli_coulomb	54681792
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.12784
% bat	50631.28906
% batA	0.00000
% batB	100.00000
% batC	172.76785

dt_ms	41896.00
last_read_micros	9808052
current_read_micros	9849948
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0947999954
calculte_milli_coulombs_transffred	335168.0312500000
battery_capacity_coulomb	54689.4414062500
battery_capacity_milli_coulomb	54689440
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.10343
% bat	50638.37109
% batA	0.00000
% batB	200.00000
% batC	226.11607

BAT PERCENT
50.64 %
dt_ms	76360.00
last_read_micros	9849948
current_read_micros	9926308
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8180000305
calculte_milli_coulombs_transffred	610880.0000000000
battery_capacity_coulomb	54696.9296875000
battery_capacity_milli_coulomb	54696928
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.08206
% bat	50645.30468
% batA	0.00000
% batB	-100.00000
% batC	-178.79464

dt_ms	39348.00
last_read_micros	9926308
current_read_micros	9965656
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9673999786
calculte_milli_coulombs_transffred	314784.0000000000
battery_capacity_coulomb	54717.9843750000
battery_capacity_milli_coulomb	54717984
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.01797
% bat	50664.79687
% batA	0.00000
% batB	0.00000
% batC	-31.91964

dt_ms	41744.00
last_read_micros	9965656
current_read_micros	10007400
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0871999263
calculte_milli_coulombs_transffred	333952.0312500000
battery_capacity_coulomb	54705.0898437500
battery_capacity_milli_coulomb	54705088
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.05459
% bat	50652.86328
% batA	0.00000
% batB	-100.00000
% batC	-121.87500

dt_ms	42164.00
last_read_micros	10007400
current_read_micros	10049564
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1082000732
calculte_milli_coulombs_transffred	337312.0312500000
battery_capacity_coulomb	54711.3593750000
battery_capacity_milli_coulomb	54711360
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.03628
% bat	50658.66406
% batA	0.00000
% batB	0.00000
% batC	-78.12500

dt_ms	41900.00
last_read_micros	10049564
current_read_micros	10091464
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	335200.0312500000
battery_capacity_coulomb	54720.9921875000
battery_capacity_milli_coulomb	54720992
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.00882
% bat	50667.58593
% batA	0.00000
% batB	0.00000
% batC	-10.93750

dt_ms	41904.00
last_read_micros	10091464
current_read_micros	10133368
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54728.5117187500
battery_capacity_milli_coulomb	54728512
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.98440
% bat	50674.54687
% batA	0.00000
% batB	0.00000
% batC	41.51786

dt_ms	41820.00
last_read_micros	10133368
current_read_micros	10175188
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0910000801
calculte_milli_coulombs_transffred	334560.0312500000
battery_capacity_coulomb	54736.0625000000
battery_capacity_milli_coulomb	54736064
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.95999
% bat	50681.54296
% batA	0.00000
% batB	0.00000
% batC	94.19643

BAT PERCENT
50.69 %
dt_ms	76256.00
last_read_micros	10175188
current_read_micros	10251444
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8127999305
calculte_milli_coulombs_transffred	610048.0000000000
battery_capacity_coulomb	54742.9453125000
battery_capacity_milli_coulomb	54742944
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.94168
% bat	50687.90625
% batA	0.00000
% batB	100.00000
% batC	142.18750

dt_ms	39364.00
last_read_micros	10251444
current_read_micros	10290808
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9681999206
calculte_milli_coulombs_transffred	314912.0000000000
battery_capacity_coulomb	54763.1679687500
battery_capacity_milli_coulomb	54763168
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.87759
% bat	50706.63281
% batA	0.00000
% batB	-100.00000
% batC	-173.88392

dt_ms	42236.00
last_read_micros	10290808
current_read_micros	10333044
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1117999553
calculte_milli_coulombs_transffred	337888.0312500000
battery_capacity_coulomb	54750.3984375000
battery_capacity_milli_coulomb	54750400
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.91726
% bat	50694.81640
% batA	0.00000
% batB	100.00000
% batC	194.19642

dt_ms	42076.00
last_read_micros	10333044
current_read_micros	10375120
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54760.6093750000
battery_capacity_milli_coulomb	54760608
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.88674
% bat	50704.26562
% batA	0.00000
% batB	-100.00000
% batC	-191.74107

dt_ms	42244.00
last_read_micros	10375120
current_read_micros	10417364
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	337952.0312500000
battery_capacity_coulomb	54769.5351562500
battery_capacity_milli_coulomb	54769536
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.85928
% bat	50712.53125
% batA	0.00000
% batB	-100.00000
% batC	-129.46427

dt_ms	42244.00
last_read_micros	10417364
current_read_micros	10459608
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	337952.0312500000
battery_capacity_coulomb	54779.8085937500
battery_capacity_milli_coulomb	54779808
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.82876
% bat	50722.04296
% batA	0.00000
% batB	0.00000
% batC	-57.81250

dt_ms	41904.00
last_read_micros	10459608
current_read_micros	10501512
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54790.0781250000
battery_capacity_milli_coulomb	54790080
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.79519
% bat	50731.55859
% batA	0.00000
% batB	0.00000
% batC	13.83929

BAT PERCENT
50.74 %
dt_ms	76284.00
last_read_micros	10501512
current_read_micros	10577796
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8141999244
calculte_milli_coulombs_transffred	610272.0000000000
battery_capacity_coulomb	54797.6328125000
battery_capacity_milli_coulomb	54797632
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.77383
% bat	50738.54296
% batA	0.00000
% batB	0.00000
% batC	66.51786

dt_ms	39096.00
last_read_micros	10577796
current_read_micros	10616892
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9548000335
calculte_milli_coulombs_transffred	312768.0000000000
battery_capacity_coulomb	54818.0781250000
battery_capacity_milli_coulomb	54818080
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.70974
% bat	50757.48046
% batA	0.00000
% batB	200.00000
% batC	209.15177

dt_ms	42084.00
last_read_micros	10616892
current_read_micros	10658976
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1041998863
calculte_milli_coulombs_transffred	336672.0312500000
battery_capacity_coulomb	54803.1679687500
battery_capacity_milli_coulomb	54803168
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.75551
% bat	50743.67578
% batA	0.00000
% batB	100.00000
% batC	105.13393

dt_ms	42068.00
last_read_micros	10658976
current_read_micros	10701044
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1033999919
calculte_milli_coulombs_transffred	336544.0312500000
battery_capacity_coulomb	54812.1601562500
battery_capacity_milli_coulomb	54812160
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.72805
% bat	50752.00000
% batA	0.00000
% batB	100.00000
% batC	167.85714

dt_ms	42076.00
last_read_micros	10701044
current_read_micros	10743120
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54821.0234375000
battery_capacity_milli_coulomb	54821024
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.70058
% bat	50760.20312
% batA	0.00000
% batB	-200.00000
% batC	-227.45535

dt_ms	42264.00
last_read_micros	10743120
current_read_micros	10785384
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	338112.0312500000
battery_capacity_coulomb	54829.9531250000
battery_capacity_milli_coulomb	54829952
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.67617
% bat	50768.47265
% batA	0.00000
% batB	-100.00000
% batC	-165.17857

dt_ms	42216.00
last_read_micros	10785384
current_read_micros	10827600
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1108000278
calculte_milli_coulombs_transffred	337728.0312500000
battery_capacity_coulomb	54840.3828125000
battery_capacity_milli_coulomb	54840384
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.64260
% bat	50778.12890
% batA	0.00000
% batB	0.00000
% batC	-92.41072

BAT PERCENT
50.79 %
dt_ms	76348.00
last_read_micros	10827600
current_read_micros	10903948
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8173999786
calculte_milli_coulombs_transffred	610784.0000000000
battery_capacity_coulomb	54850.4335937500
battery_capacity_milli_coulomb	54850432
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.61208
% bat	50787.43750
% batA	0.00000
% batB	0.00000
% batC	-22.32143

dt_ms	39184.00
last_read_micros	10903948
current_read_micros	10943132
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9592000007
calculte_milli_coulombs_transffred	313472.0000000000
battery_capacity_coulomb	54871.3906250000
battery_capacity_milli_coulomb	54871392
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.54799
% bat	50806.84765
% batA	0.00000
% batB	100.00000
% batC	123.88393

dt_ms	42076.00
last_read_micros	10943132
current_read_micros	10985208
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54857.1835937500
battery_capacity_milli_coulomb	54857184
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.59072
% bat	50793.69140
% batA	0.00000
% batB	0.00000
% batC	24.77679

dt_ms	41840.00
last_read_micros	10985208
current_read_micros	11027048
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0920000076
calculte_milli_coulombs_transffred	334720.0312500000
battery_capacity_coulomb	54866.1132812500
battery_capacity_milli_coulomb	54866112
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.56325
% bat	50801.95703
% batA	0.00000
% batB	0.00000
% batC	87.05358

dt_ms	41800.00
last_read_micros	11027048
current_read_micros	11068848
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0899999141
calculte_milli_coulombs_transffred	334400.0312500000
battery_capacity_coulomb	54873.1523437500
battery_capacity_milli_coulomb	54873152
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.54188
% bat	50808.47265
% batA	0.00000
% batB	100.00000
% batC	136.16072

dt_ms	42076.00
last_read_micros	11068848
current_read_micros	11110924
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54879.8710937500
battery_capacity_milli_coulomb	54879872
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.52357
% bat	50814.69531
% batA	0.00000
% batB	100.00000
% batC	183.03572

dt_ms	42084.00
last_read_micros	11110924
current_read_micros	11153008
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1041998863
calculte_milli_coulombs_transffred	336672.0312500000
battery_capacity_coulomb	54888.8007812500
battery_capacity_milli_coulomb	54888800
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.49611
% bat	50822.96484
% batA	0.00000
% batB	-200.00000
% batC	-211.83035

BAT PERCENT
50.83 %
dt_ms	76668.00
last_read_micros	11153008
current_read_micros	11229676
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8333999633
calculte_milli_coulombs_transffred	613344.0000000000
battery_capacity_coulomb	54897.7929687500
battery_capacity_milli_coulomb	54897792
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.46864
% bat	50831.28906
% batA	0.00000
% batB	-100.00000
% batC	-149.10714

dt_ms	39516.00
last_read_micros	11229676
current_read_micros	11269192
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9758000373
calculte_milli_coulombs_transffred	316128.0000000000
battery_capacity_coulomb	54921.3125000000
battery_capacity_milli_coulomb	54921312
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.39540
% bat	50853.07031
% batA	0.00000
% batB	0.00000
% batC	14.95536

dt_ms	41828.00
last_read_micros	11269192
current_read_micros	11311020
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0913999080
calculte_milli_coulombs_transffred	334624.0312500000
battery_capacity_coulomb	54909.7617187500
battery_capacity_milli_coulomb	54909760
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.43202
% bat	50842.36718
% batA	0.00000
% batB	0.00000
% batC	-65.62500

dt_ms	41904.00
last_read_micros	11311020
current_read_micros	11352924
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54916.7031250000
battery_capacity_milli_coulomb	54916704
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.41065
% bat	50848.80078
% batA	0.00000
% batB	0.00000
% batC	-17.18750

dt_ms	41904.00
last_read_micros	11352924
current_read_micros	11394828
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54924.2578125000
battery_capacity_milli_coulomb	54924256
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.38624
% bat	50855.79296
% batA	0.00000
% batB	0.00000
% batC	35.49107

dt_ms	41828.00
last_read_micros	11394828
current_read_micros	11436656
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0913999080
calculte_milli_coulombs_transffred	334624.0312500000
battery_capacity_coulomb	54931.8085937500
battery_capacity_milli_coulomb	54931808
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.36488
% bat	50862.78515
% batA	0.00000
% batB	0.00000
% batC	88.16964

dt_ms	41812.00
last_read_micros	11436656
current_read_micros	11478468
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0906000137
calculte_milli_coulombs_transffred	334496.0312500000
battery_capacity_coulomb	54938.7539062500
battery_capacity_milli_coulomb	54938752
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.34352
% bat	50869.21484
% batA	0.00000
% batB	100.00000
% batC	136.60714

BAT PERCENT
50.88 %
dt_ms	76524.00
last_read_micros	11478468
current_read_micros	11554992
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8262000083
calculte_milli_coulombs_transffred	612192.0000000000
battery_capacity_coulomb	54945.5664062500
battery_capacity_milli_coulomb	54945568
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.32215
% bat	50875.52734
% batA	0.00000
% batB	100.00000
% batC	184.15177

dt_ms	39364.00
last_read_micros	11554992
current_read_micros	11594356
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9681999206
calculte_milli_coulombs_transffred	314912.0000000000
battery_capacity_coulomb	54967.9375000000
battery_capacity_milli_coulomb	54967936
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.25501
% bat	50896.23828
% batA	0.00000
% batB	-100.00000
% batC	-116.96429

dt_ms	42236.00
last_read_micros	11594356
current_read_micros	11636592
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1117999553
calculte_milli_coulombs_transffred	337888.0312500000
battery_capacity_coulomb	54955.1679687500
battery_capacity_milli_coulomb	54955168
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-32.29163
% bat	50884.41406
% batA	0.00000
% batB	-200.00000
% batC	-206.02677

dt_ms	42244.00
last_read_micros	11636592
current_read_micros	11678836
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	337952.0312500000
