ўИ���8K����8K���ИK�јK����p��������battery_voltage	64.00
calculte_coulombs_transffred	-2.0957999229
calculte_milli_coulombs_transffred	335328.0312500000
battery_capacity_coulomb	54210.1757812500
battery_capacity_milli_coulomb	54210176
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.56526
% bat	50194.60546
% batA	0.00000
% batB	0.00000
% batC	83.03572

dt_ms	41640.00
last_read_micros	6111852
current_read_micros	6153492
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0820000171
calculte_milli_coulombs_transffred	333120.0312500000
battery_capacity_coulomb	54217.8242187500
battery_capacity_milli_coulomb	54217824
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.54390
% bat	50201.69140
% batA	0.00000
% batB	100.00000
% batC	136.38392

dt_ms	41904.00
last_read_micros	6153492
current_read_micros	6195396
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54223.2656250000
battery_capacity_milli_coulomb	54223264
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.52559
% bat	50206.72656
% batA	0.00000
% batB	100.00000
% batC	174.33035

dt_ms	41908.00
last_read_micros	6195396
current_read_micros	6237304
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	335264.0312500000
battery_capacity_coulomb	54230.8164062500
battery_capacity_milli_coulomb	54230816
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.50423
% bat	50213.71875
% batA	0.00000
% batB	200.00000
% batC	227.00892

dt_ms	41908.00
last_read_micros	6237304
current_read_micros	6279212
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	335264.0312500000
battery_capacity_coulomb	54238.3984375000
battery_capacity_milli_coulomb	54238400
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.47981
% bat	50220.74218
% batA	0.00000
% batB	-100.00000
% batC	-177.23214

BAT PERCENT
50.23 %
dt_ms	76528.00
last_read_micros	6279212
current_read_micros	6355740
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8263999938
calculte_milli_coulombs_transffred	612224.0000000000
battery_capacity_coulomb	54245.9843750000
battery_capacity_milli_coulomb	54245984
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.45845
% bat	50227.76562
% batA	0.00000
% batB	-100.00000
% batC	-124.33036

dt_ms	39352.00
last_read_micros	6355740
current_read_micros	6395092
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9675999641
calculte_milli_coulombs_transffred	314816.0000000000
battery_capacity_coulomb	54268.3828125000
battery_capacity_milli_coulomb	54268384
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.38825
% bat	50248.50390
% batA	0.00000
% batB	0.00000
% batC	31.91964

dt_ms	41652.00
last_read_micros	6395092
current_read_micros	6436744
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	333216.0312500000
battery_capacity_coulomb	54255.5195312500
battery_capacity_milli_coulomb	54255520
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.42793
% bat	50236.58984
% batA	0.00000
% batB	0.00000
% batC	-57.81250

dt_ms	41732.00
last_read_micros	6436744
current_read_micros	6478476
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	333856.0312500000
battery_capacity_coulomb	54261.0546875000
battery_capacity_milli_coulomb	54261056
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.40962
% bat	50241.71484
% batA	0.00000
% batB	0.00000
% batC	-19.19643

dt_ms	41736.00
last_read_micros	6478476
current_read_micros	6520212
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54267.2304687500
battery_capacity_milli_coulomb	54267232
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.39131
% bat	50247.43750
% batA	0.00000
% batB	0.00000
% batC	23.88393

dt_ms	41652.00
last_read_micros	6520212
current_read_micros	6561864
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	333216.0312500000
battery_capacity_coulomb	54273.4414062500
battery_capacity_milli_coulomb	54273440
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.37300
% bat	50253.18359
% batA	0.00000
% batB	0.00000
% batC	67.18750

dt_ms	41648.00
last_read_micros	6561864
current_read_micros	6603512
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54278.9765625000
battery_capacity_milli_coulomb	54278976
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.35774
% bat	50258.30859
% batA	0.00000
% batB	100.00000
% batC	105.80358

BAT PERCENT
50.26 %
dt_ms	76364.00
last_read_micros	6603512
current_read_micros	6679876
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8181999206
calculte_milli_coulombs_transffred	610912.0000000000
battery_capacity_coulomb	54284.4804687500
battery_capacity_milli_coulomb	54284480
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.33943
% bat	50263.41015
% batA	0.00000
% batB	100.00000
% batC	144.19642

dt_ms	39196.00
last_read_micros	6679876
current_read_micros	6719072
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9597999572
calculte_milli_coulombs_transffred	313568.0000000000
battery_capacity_coulomb	54305.5664062500
battery_capacity_milli_coulomb	54305568
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
